dataset,model,seed,n_classes,n_test,accuracy,ece_adaptive,ece_equalwidth,mce,brier,nll
ACSEmployment-CA,tabpfn_temp,3,2,2400,0.8233333333333334,0.01965315481026967,0.01952276036143303,0.05749029880282519,0.2529003617188151,0.3907090723514557
ACSEmployment-CA,tabpfn_temp,4,2,2400,0.8075,0.016730963389078767,0.013848118906219791,0.03851224428199862,0.26568313328363136,0.4050534963607788
ACSEmployment-CA,xgboost,0,2,2400,0.8075,0.059600589424371714,0.058279562741518014,0.11736455116884781,0.2842771897087434,0.45302775502204895
ACSEmployment-CA,xgboost,1,2,2400,0.7929166666666667,0.05635009288787843,0.05604342627028624,0.12169629335403442,0.2893289374929865,0.4421308934688568
ACSEmployment-CA,xgboost,2,2,2400,0.8058333333333333,0.052434395228823025,0.0521355134745439,0.12053538107807749,0.2832441126856855,0.44627633690834045
ACSEmployment-CA,xgboost,3,2,2400,0.79625,0.054995899995168046,0.05940018676221373,0.12845367092197224,0.28488199645384,0.4475155770778656
ACSEmployment-CA,xgboost,4,2,2400,0.7866666666666666,0.0646050084133943,0.06453449182212352,0.11169336138472041,0.2958070641602257,0.45717334747314453
ACSEmployment-CA,lightgbm,0,2,2400,0.8079166666666666,0.04819200603257302,0.04789095154186679,0.0879518459289843,0.2763271591223059,0.4321923543250541
ACSEmployment-CA,lightgbm,1,2,2400,0.7995833333333333,0.037359113674638816,0.03440708538425998,0.06926536775363423,0.2720664001152982,0.41572892638591286
ACSEmployment-CA,lightgbm,2,2,2400,0.8104166666666667,0.04630632682467813,0.04619999322094737,0.0973456764832179,0.27255821866890934,0.4227557261817415
ACSEmployment-CA,lightgbm,3,2,2400,0.8066666666666666,0.035931436771776785,0.041063396266903876,0.1013409404736123,0.272970641890588,0.4258573232132123
ACSEmployment-CA,lightgbm,4,2,2400,0.7983333333333333,0.04497353502614284,0.04303303417837623,0.08948255048699916,0.28491565292272775,0.4366079290388068
ACSEmployment-CA,mlp,0,2,2400,0.7991666666666667,0.027479511102040596,0.028143127585450796,0.0642453415973766,0.2817603992157744,0.42835643887519836
ACSEmployment-CA,mlp,1,2,2400,0.7954166666666667,0.012309179306030267,0.011419191161791502,0.03156831051952158,0.27496970375528096,0.4146880805492401
ACSEmployment-CA,mlp,2,2,2400,0.8,0.02127728489538034,0.019714336494604717,0.06476194088437914,0.27904791484258284,0.4196782410144806
ACSEmployment-CA,mlp,3,2,2400,0.7929166666666667,0.018575033570329347,0.018074203183253618,0.07146970395999858,0.27796439651219046,0.4228389263153076
ACSEmployment-CA,mlp,4,2,2400,0.7745833333333333,0.02051620165506998,0.013423861016829797,0.030484849193929353,0.30750619799071915,0.45944321155548096
