dataset,model,seed,alpha,score,axis,method,target_coverage,marginal_coverage,mean_set_size,coverage_gap,worst_group_coverage,set_size_disparity
ACSPublicCoverage-CA,tabpfn,1,0.2,aps,race,marginal,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,1,0.2,aps,predclass,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,1,0.2,aps,sex,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,1,0.2,aps,age,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,1,0.2,aps,race,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.05,lac,predclass,marginal,0.95,0.9595833333333333,1.6683333333333332,0.027874494565232943,0.952928297755884,0.09639009963978373
ACSPublicCoverage-CA,tabpfn,2,0.05,lac,sex,marginal,0.95,0.9595833333333333,1.6683333333333332,0.002272727272727204,0.9583333333333334,0.07272727272727275
ACSPublicCoverage-CA,tabpfn,2,0.05,lac,age,marginal,0.95,0.9595833333333333,1.6683333333333332,0.0257806594791673,0.9469578783151326,0.2247238075291902
ACSPublicCoverage-CA,tabpfn,2,0.05,lac,race,marginal,0.95,0.9595833333333333,1.6683333333333332,0.034437350359138086,0.9441340782122905,0.20223463687150844
ACSPublicCoverage-CA,tabpfn,2,0.05,lac,predclass,mondrian,0.95,0.9616666666666667,1.6766666666666667,8.02391125553914e-05,0.9616055846422339,0.008551196852334186
ACSPublicCoverage-CA,tabpfn,2,0.05,lac,sex,mondrian,0.95,0.9633333333333334,1.6870833333333333,0.017508417508417473,0.9537037037037037,0.015067340067340007
ACSPublicCoverage-CA,tabpfn,2,0.05,lac,age,mondrian,0.95,0.96625,1.6945833333333333,0.00781890849433653,0.9624413145539906,0.17353439098033063
ACSPublicCoverage-CA,tabpfn,2,0.05,lac,race,mondrian,0.95,0.965,1.6983333333333333,0.04716285924834196,0.952837140751658,0.20302069459749972
ACSPublicCoverage-CA,tabpfn,2,0.05,aps,predclass,marginal,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.05,aps,sex,marginal,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.05,aps,age,marginal,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.05,aps,race,marginal,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.05,aps,predclass,mondrian,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.05,aps,sex,mondrian,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.05,aps,age,mondrian,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.05,aps,race,mondrian,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.1,lac,predclass,marginal,0.9,0.8983333333333333,1.4566666666666668,0.06706843536596208,0.8823207443897099,0.21167077892118513
ACSPublicCoverage-CA,tabpfn,2,0.1,lac,sex,marginal,0.9,0.8983333333333333,1.4566666666666668,0.0037037037037037646,0.8962962962962963,0.046801346801346844
ACSPublicCoverage-CA,tabpfn,2,0.1,lac,age,marginal,0.9,0.8983333333333333,1.4566666666666668,0.025554178060658517,0.890795631825273,0.1385325584236523
ACSPublicCoverage-CA,tabpfn,2,0.1,lac,race,marginal,0.9,0.8983333333333333,1.4566666666666668,0.08407821229050272,0.8659217877094972,0.27134949515657825
ACSPublicCoverage-CA,tabpfn,2,0.1,lac,predclass,mondrian,0.9,0.895,1.44375,0.00037827010204694034,0.8949096880131363,0.0016764243158899905
ACSPublicCoverage-CA,tabpfn,2,0.1,lac,sex,mondrian,0.9,0.8975,1.4554166666666666,0.008922558922558887,0.8925925925925926,0.025505050505050697
ACSPublicCoverage-CA,tabpfn,2,0.1,lac,age,mondrian,0.9,0.9,1.46,0.010087788191353808,0.892018779342723,0.19409393161945654
ACSPublicCoverage-CA,tabpfn,2,0.1,lac,race,mondrian,0.9,0.9045833333333333,1.4733333333333334,0.08174018317717646,0.8968312453942521,0.3005895357406043
ACSPublicCoverage-CA,tabpfn,2,0.1,aps,predclass,marginal,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.1,aps,sex,marginal,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.1,aps,age,marginal,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.1,aps,race,marginal,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.1,aps,predclass,mondrian,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.1,aps,sex,mondrian,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.1,aps,age,mondrian,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.1,aps,race,mondrian,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.2,lac,predclass,marginal,0.8,0.7970833333333334,1.1541666666666666,0.04876532065555361,0.7854406130268199,0.1665821290302243
ACSPublicCoverage-CA,tabpfn,2,0.2,lac,sex,marginal,0.8,0.7970833333333334,1.1541666666666666,0.0036195286195286336,0.7954545454545454,0.007575757575757569
ACSPublicCoverage-CA,tabpfn,2,0.2,lac,age,marginal,0.8,0.7970833333333334,1.1541666666666666,0.059380609778506455,0.7695167286245354,0.02286351677115417
ACSPublicCoverage-CA,tabpfn,2,0.2,lac,race,marginal,0.8,0.7970833333333334,1.1541666666666666,0.020493127716968762,0.7834862385321101,0.10486392291527857
ACSPublicCoverage-CA,tabpfn,2,0.2,lac,predclass,mondrian,0.8,0.8020833333333334,1.1720833333333334,0.012823929595910166,0.7923211169284468,0.03758915854962086
ACSPublicCoverage-CA,tabpfn,2,0.2,lac,sex,mondrian,0.8,0.8,1.16,0.0033670033670033517,0.7984848484848485,0.010437710437710468
ACSPublicCoverage-CA,tabpfn,2,0.2,lac,age,mondrian,0.8,0.8016666666666666,1.1716666666666666,0.05304598801052407,0.7831474597273854,0.20496135434771
ACSPublicCoverage-CA,tabpfn,2,0.2,lac,race,mondrian,0.8,0.8,1.17125,0.04521149241819633,0.7905027932960894,0.20099760574620906
ACSPublicCoverage-CA,tabpfn,2,0.2,aps,predclass,marginal,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.2,aps,sex,marginal,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.2,aps,age,marginal,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.2,aps,race,marginal,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.2,aps,predclass,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.2,aps,sex,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.2,aps,age,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,2,0.2,aps,race,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.05,lac,predclass,marginal,0.95,0.9545833333333333,1.6595833333333334,0.041186813186813276,0.9434285714285714,0.18202197802197806
ACSPublicCoverage-CA,tabpfn,3,0.05,lac,sex,marginal,0.95,0.9545833333333333,1.6595833333333334,0.018460508465617753,0.9464684014869889,0.11355732130587226
ACSPublicCoverage-CA,tabpfn,3,0.05,lac,age,marginal,0.95,0.9545833333333333,1.6595833333333334,0.035685749588138305,0.94125,0.1351639924709127
ACSPublicCoverage-CA,tabpfn,3,0.05,lac,race,marginal,0.95,0.9545833333333333,1.6595833333333334,0.07404684827322972,0.9133858267716536,0.2905212913490791
ACSPublicCoverage-CA,tabpfn,3,0.05,lac,predclass,mondrian,0.95,0.9508333333333333,1.6504166666666666,0.004131868131868166,0.9497142857142857,0.03635164835164839
ACSPublicCoverage-CA,tabpfn,3,0.05,lac,sex,mondrian,0.95,0.9579166666666666,1.66875,0.009129829630543096,0.9539033457249071,0.07690410331401187
ACSPublicCoverage-CA,tabpfn,3,0.05,lac,age,mondrian,0.95,0.96125,1.685,0.025288303130148293,0.95,0.07966816245509878
ACSPublicCoverage-CA,tabpfn,3,0.05,lac,race,mondrian,0.95,0.9566666666666667,1.66375,0.01140089659101906,0.9491017964071856,0.13996034504370014
ACSPublicCoverage-CA,tabpfn,3,0.05,aps,predclass,marginal,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.05,aps,sex,marginal,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.05,aps,age,marginal,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.05,aps,race,marginal,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.05,aps,predclass,mondrian,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.05,aps,sex,mondrian,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.05,aps,age,mondrian,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.05,aps,race,mondrian,0.95,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.1,lac,predclass,marginal,0.9,0.91125,1.4775,0.06263736263736264,0.8942857142857142,0.2819340659340659
ACSPublicCoverage-CA,tabpfn,3,0.1,lac,sex,marginal,0.9,0.91125,1.4775,0.00569777480223399,0.9080568720379147,0.03930301802357339
ACSPublicCoverage-CA,tabpfn,3,0.1,lac,age,marginal,0.9,0.91125,1.4775,0.05444192751235588,0.88625,0.14831136738056006
ACSPublicCoverage-CA,tabpfn,3,0.1,lac,race,marginal,0.9,0.91125,1.4775,0.06494295932936567,0.8740157480314961,0.22837269805093574
ACSPublicCoverage-CA,tabpfn,3,0.1,lac,predclass,mondrian,0.9,0.9008333333333334,1.4745833333333334,0.04334065934065934,0.8692307692307693,0.011560439560439617
ACSPublicCoverage-CA,tabpfn,3,0.1,lac,sex,mondrian,0.9,0.9120833333333334,1.4808333333333332,0.0071847636498175715,0.9080568720379147,0.03335506263323862
ACSPublicCoverage-CA,tabpfn,3,0.1,lac,age,mondrian,0.9,0.9166666666666666,1.4958333333333333,0.03864703459637553,0.89875,0.12806052622888853
ACSPublicCoverage-CA,tabpfn,3,0.1,lac,race,mondrian,0.9,0.9158333333333334,1.4954166666666666,0.05058030223780374,0.8740157480314961,0.14444339667122463
ACSPublicCoverage-CA,tabpfn,3,0.1,aps,predclass,marginal,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.1,aps,sex,marginal,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.1,aps,age,marginal,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.1,aps,race,marginal,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.1,aps,predclass,mondrian,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.1,aps,sex,mondrian,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.1,aps,age,mondrian,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.1,aps,race,mondrian,0.9,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.2,lac,predclass,marginal,0.8,0.80875,1.1904166666666667,0.015428571428571347,0.8045714285714286,0.2051428571428573
ACSPublicCoverage-CA,tabpfn,3,0.2,lac,sex,marginal,0.8,0.80875,1.1904166666666667,0.012230659454888215,0.8018957345971564,0.03232262724854196
